Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Product ID,Category,Sub-Category,Product Name,Sales,quantity,lag_1_sales,lag_2_sales,rolling_7d_mean,rolling_30d_mean
7798,CA-2018-166184,2018-03-24,27/03/2018,First Class,HR-14830,Harold Ryan,Corporate,OFF-EN-10004483,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",47.01,1,125.36,12.536,68.3212,68.3212
2500,US-2018-133781,2018-06-22,23/06/2018,First Class,DC-12850,Dan Campbell,Consumer,OFF-EN-10004483,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",37.608,1,47.01,125.36,63.202333333333335,63.202333333333335
6302,US-2015-161305,2015-06-06,12/6/2015,Standard Class,SB-20170,Sarah Bern,Consumer,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",13.984,1,,,13.984,13.984
5689,CA-2015-131541,2015-07-28,28/07/2015,Same Day,CK-12205,Chloris Kastensmidt,Consumer,OFF-EN-10000781,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",48.944,1,13.984,,31.464000000000002,31.464000000000002
7721,CA-2016-108588,2016-01-05,10/1/2016,Standard Class,BG-11695,Brooke Gillingham,Corporate,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",17.48,1,48.944,13.984,26.802666666666667,26.802666666666667
2447,CA-2016-100573,2016-09-25,1/10/2016,Standard Class,AM-10705,Anne McFarland,Consumer,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",17.48,1,17.48,48.944,24.472,24.472
1990,CA-2016-127509,2016-11-09,13/11/2016,Standard Class,AS-10090,Adam Shillingsburg,Consumer,OFF-EN-10000781,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",26.22,1,17.48,17.48,24.8216,24.8216
4379,CA-2016-140830,2016-11-30,2/12/2016,Second Class,PS-18970,Paul Stevenson,Home Office,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",17.48,1,26.22,17.48,23.598,23.598
4993,CA-2016-153038,2016-12-18,25/12/2016,Standard Class,RB-19645,Robert Barroso,Corporate,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",55.936,1,17.48,26.22,28.217714285714287,28.217714285714287
5217,US-2018-159562,2018-09-09,15/09/2018,Standard Class,JB-16000,Joy Bell-,Consumer,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",17.48,1,55.936,17.48,28.717142857142854,26.8755
986,CA-2018-100314,2018-09-29,5/10/2018,Standard Class,AS-10630,Ann Steele,Home Office,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",27.968,1,17.48,55.936,25.72057142857143,26.99688888888889
2949,CA-2018-169859,2018-12-14,18/12/2018,Standard Class,MP-18175,Mike Pelletier,Home Office,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",43.7,1,27.968,17.48,29.46628571428571,28.6672
4534,CA-2015-140403,2015-10-10,10/10/2015,Same Day,TN-21040,Tanja Norvell,Home Office,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",15.28,1,,,15.28,15.28
6215,CA-2015-128538,2015-10-11,15/10/2015,Standard Class,AS-10240,Alan Shonely,Consumer,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",7.64,1,15.28,,11.459999999999999,11.459999999999999
9174,US-2017-155768,2017-12-01,1/12/2017,Same Day,LB-16795,Laurel Beltran,Home Office,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",22.92,1,7.64,15.28,15.280000000000001,15.280000000000001
4910,CA-2018-127306,2018-01-14,18/01/2018,Standard Class,BH-11710,Brosina Hoffman,Consumer,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",18.336,1,22.92,7.64,16.044,16.044
5315,CA-2018-137876,2018-04-30,5/5/2018,Standard Class,DJ-13510,Don Jones,Corporate,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",30.56,1,18.336,22.92,18.9472,18.9472
712,CA-2018-146136,2018-09-03,7/9/2018,Standard Class,AP-10915,Arthur Prichep,Consumer,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",24.448,1,30.56,18.336,19.864,19.864
1229,CA-2018-100013,2018-11-06,11/11/2018,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",15.28,1,24.448,30.56,19.209142857142858,19.209142857142858
3138,CA-2018-164168,2018-11-12,18/11/2018,Standard Class,LS-16975,Lindsay Shagiari,Home Office,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",12.224,1,15.28,24.448,18.77257142857143,18.336
38,CA-2016-117415,2016-12-27,31/12/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,1,,,113.328,113.328
1491,CA-2018-151911,2018-04-30,5/5/2018,Second Class,DL-13495,Dionis Lloyd,Corporate,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",62.96,1,113.328,,88.144,88.144
9572,CA-2016-113131,2016-09-24,24/09/2016,Same Day,MB-17305,Maria Bertelson,Consumer,OFF-EN-10003068,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,15.84,1,,,15.84,15.84
4336,CA-2016-154795,2016-12-20,24/12/2016,Standard Class,GZ-14470,Gary Zandusky,Consumer,OFF-EN-10003068,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,7.92,1,15.84,,11.879999999999999,11.879999999999999
5673,CA-2018-127922,2018-10-27,3/11/2018,Standard Class,SH-19975,Sally Hughsby,Corporate,OFF-EN-10003068,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,15.84,1,7.92,15.84,13.200000000000001,13.200000000000001
7013,US-2015-135881,2015-05-23,27/05/2015,Standard Class,GT-14710,Greg Tran,Consumer,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,,,208.16,208.16
2010,CA-2015-116407,2015-11-15,21/11/2015,Standard Class,JF-15190,Jamie Frazer,Consumer,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",333.056,1,208.16,,270.608,270.608
80,CA-2017-127208,2017-06-12,15/06/2017,First Class,SC-20770,Stewart Carmichael,Corporate,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,333.056,208.16,249.792,249.792
2315,CA-2018-122035,2018-07-20,25/07/2018,Standard Class,EM-13825,Elizabeth Moffitt,Corporate,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",416.32,1,208.16,333.056,291.424,291.424
2969,CA-2018-167941,2018-11-06,9/11/2018,Second Class,JF-15565,Jill Fjeld,Consumer,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",499.584,1,416.32,208.16,333.056,333.056
9736,CA-2015-128062,2015-11-19,22/11/2015,Second Class,AD-10180,Alan Dominguez,Home Office,OFF-PA-10001583,Office Supplies,Paper,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",5.88,1,,,5.88,5.88
8816,CA-2016-144274,2016-11-23,25/11/2016,Second Class,PW-19240,Pierre Wener,Consumer,OFF-PA-10001583,Office Supplies,Paper,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",44.1,1,5.88,,24.990000000000002,24.990000000000002
1750,US-2015-157406,2015-04-25,29/04/2015,Standard Class,DA-13450,Dianna Arnett,Home Office,OFF-AR-10002221,Office Supplies,Art,12 Colored Short Pencils,6.24,1,,,6.24,6.24
1527,CA-2017-122392,2017-07-22,27/07/2017,Standard Class,CJ-12010,Caroline Jumper,Consumer,OFF-AR-10002221,Office Supplies,Art,12 Colored Short Pencils,4.16,1,6.24,,5.2,5.2
6962,CA-2018-162096,2018-11-10,10/11/2018,Same Day,TB-21190,Thomas Brumley,Home Office,OFF-AR-10002221,Office Supplies,Art,12 Colored Short Pencils,7.8,1,4.16,6.24,6.066666666666666,6.066666666666666
2790,US-2015-117744,2015-12-02,6/12/2015,Standard Class,MD-17860,Michael Dominguez,Corporate,FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,39.96,1,,,39.96,39.96
2720,CA-2015-110030,2015-12-06,8/12/2015,Second Class,LF-17185,Luke Foster,Consumer,FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,23.976,1,39.96,,31.968,31.968
8832,CA-2016-145324,2016-11-15,19/11/2016,Standard Class,DH-13675,Duane Huffman,Home Office,FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,39.96,1,23.976,39.96,34.632,34.632
755,CA-2016-135272,2016-12-07,12/12/2016,Standard Class,MS-17830,Melanie Seite,Consumer,FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,79.92,1,39.96,23.976,45.954,45.954
2542,CA-2017-144792,2017-04-30,4/5/2017,Standard Class,KD-16615,Ken Dana,Corporate,FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,111.888,1,79.92,39.96,59.1408,59.1408
9117,CA-2018-153045,2018-01-19,24/01/2018,Second Class,NS-18505,Neola Schneider,Consumer,FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,31.968,1,111.888,79.92,54.612,54.612
670,US-2018-106663,2018-06-09,13/06/2018,Standard Class,MO-17800,Meg O'Connel,Home Office,FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,23.976,1,31.968,111.888,50.23542857142858,50.23542857142858
4945,CA-2017-151372,2017-09-05,6/9/2017,First Class,JH-15985,Joseph Holt,Consumer,OFF-PA-10004381,Office Supplies,Paper,14-7/8 x 11 Blue Bar Computer Printout Paper,96.08,1,,,96.08,96.08
4756,CA-2018-126354,2018-02-03,8/2/2018,Standard Class,SC-20380,Shahid Collister,Consumer,OFF-PA-10004381,Office Supplies,Paper,14-7/8 x 11 Blue Bar Computer Printout Paper,115.296,1,96.08,,105.688,105.688
5530,CA-2018-136609,2018-08-06,11/8/2018,Standard Class,TB-21355,Todd Boyes,Corporate,OFF-PA-10004381,Office Supplies,Paper,14-7/8 x 11 Blue Bar Computer Printout Paper,115.296,1,115.296,96.08,108.89066666666668,108.89066666666668
4922,CA-2018-114055,2018-12-25,29/12/2018,Second Class,MH-18115,Mick Hernandez,Home Office,OFF-PA-10004381,Office Supplies,Paper,14-7/8 x 11 Blue Bar Computer Printout Paper,96.08,1,115.296,115.296,105.688,105.688
6376,CA-2015-107811,2015-04-29,3/5/2015,Standard Class,LA-16780,Laura Armstrong,Corporate,OFF-ST-10000798,Office Supplies,Storage,2300 Heavy-Duty Transfer File Systems by Perma,99.92,1,,,99.92,99.92
1424,CA-2016-124800,2016-09-26,30/09/2016,Standard Class,RW-19540,Rick Wilson,Corporate,OFF-ST-10000798,Office Supplies,Storage,2300 Heavy-Duty Transfer File Systems by Perma,119.904,1,99.92,,109.912,109.912
6010,CA-2016-135580,2016-12-30,3/1/2017,Standard Class,CL-12565,Clay Ludtke,Consumer,OFF-ST-10000798,Office Supplies,Storage,2300 Heavy-Duty Transfer File Systems by Perma,74.94,1,119.904,99.92,98.25466666666667,98.25466666666667
396,CA-2018-165603,2018-10-17,19/10/2018,Second Class,SS-20140,Saphhira Shifley,Corporate,OFF-ST-10000798,Office Supplies,Storage,2300 Heavy-Duty Transfer File Systems by Perma,49.96,1,74.94,119.904,86.181,86.181
6555,CA-2015-137092,2015-10-20,22/10/2015,Second Class,LS-16975,Lindsay Shagiari,Home Office,OFF-ST-10003805,Office Supplies,Storage,"24 Capacity Maxi Data Binder Racks, Pearl",505.32,1,,,505.32,505.32
4890,CA-2017-163167,2017-11-28,1/12/2017,Second Class,RF-19345,Randy Ferguson,Corporate,OFF-ST-10003805,Office Supplies,Storage,"24 Capacity Maxi Data Binder Racks, Pearl",1263.3,1,505.32,,884.31,884.31
4520,CA-2018-107167,2018-06-10,14/06/2018,Standard Class,ND-18460,Neil Ducich,Corporate,OFF-ST-10003805,Office Supplies,Storage,"24 Capacity Maxi Data Binder Racks, Pearl",1347.52,1,1263.3,505.32,1038.7133333333334,1038.7133333333334
7104,CA-2018-147410,2018-09-04,8/9/2018,Standard Class,EJ-14155,Eva Jacobs,Consumer,OFF-ST-10003805,Office Supplies,Storage,"24 Capacity Maxi Data Binder Racks, Pearl",421.1,1,1347.52,1263.3,884.31,884.31
2132,US-2015-114188,2015-05-20,22/05/2015,Second Class,RF-19345,Randy Ferguson,Corporate,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,139.86,1,,,139.86,139.86
8850,CA-2016-140718,2016-07-02,4/7/2016,First Class,FA-14230,Frank Atkinson,Corporate,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,159.84,1,139.86,,149.85000000000002,149.85000000000002
4667,CA-2017-116547,2017-01-10,17/01/2017,Standard Class,KB-16585,Ken Black,Corporate,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,79.92,1,159.84,139.86,126.54,126.54
1235,CA-2017-144344,2017-10-28,28/10/2017,Same Day,PG-18820,Patrick Gardner,Consumer,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,47.952,1,79.92,159.84,106.893,106.893
2632,US-2018-110604,2018-05-15,20/05/2018,Standard Class,JF-15295,Jason Fortune-,Consumer,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,39.96,1,47.952,79.92,93.50640000000001,93.50640000000001
5582,CA-2018-163818,2018-10-04,8/10/2018,Standard Class,PS-18970,Paul Stevenson,Home Office,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,19.98,1,39.96,47.952,81.252,81.252
767,CA-2015-162775,2015-01-13,15/01/2015,Second Class,CS-12250,Chris Selesnick,Corporate,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,5.64,1,,,5.64,5.64
2412,CA-2016-142041,2016-06-07,9/6/2016,Second Class,EM-13810,Eleni McCrary,Corporate,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,7.52,1,5.64,,6.58,6.58
4796,CA-2016-120516,2016-08-13,17/08/2016,Standard Class,CK-12595,Clytie Kelty,Consumer,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,5.64,1,7.52,5.64,6.266666666666666,6.266666666666666
1982,CA-2016-119592,2016-12-14,16/12/2016,Second Class,MM-18280,Muhammed MacIntyre,Corporate,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,3.76,1,5.64,7.52,5.64,5.64
5634,CA-2017-101742,2017-09-23,28/09/2017,Second Class,CR-12580,Clay Rozendal,Home Office,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,10.528,1,3.76,5.64,6.6176,6.6176
2349,CA-2018-109701,2018-12-02,3/12/2018,Same Day,AM-10360,Alice McCarthy,Corporate,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,9.024,1,10.528,3.76,7.0186666666666655,7.0186666666666655
7349,CA-2015-130421,2015-03-03,7/3/2015,Standard Class,SC-20020,Sam Craven,Consumer,OFF-AP-10002534,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,176.772,1,,,176.772,176.772
8877,US-2017-141264,2017-08-13,19/08/2017,Standard Class,CT-11995,Carol Triggs,Consumer,OFF-AP-10002534,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,58.924,1,176.772,,117.848,117.848
9187,CA-2018-156776,2018-08-07,11/8/2018,Standard Class,JL-15505,Jeremy Lonsdale,Consumer,OFF-AP-10002534,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,1473.1,1,58.924,176.772,569.5986666666666,569.5986666666666
8772,CA-2018-115882,2018-09-14,17/09/2018,First Class,DB-13555,Dorothy Badders,Corporate,OFF-AP-10002534,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,942.784,1,1473.1,58.924,662.895,662.895
1996,US-2018-147221,2018-12-02,4/12/2018,Second Class,JS-16030,Joy Smith,Consumer,OFF-AP-10002534,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,294.62,1,942.784,1473.1,589.24,589.24
5256,CA-2016-125185,2016-03-05,7/3/2016,Second Class,AH-10195,Alan Haines,Corporate,FUR-FU-10003247,Furniture,Furnishings,36X48 HARDFLOOR CHAIRMAT,33.568,1,,,33.568,33.568
7605,CA-2017-101791,2017-05-27,31/05/2017,Standard Class,BS-11665,Brian Stugart,Consumer,FUR-FU-10003247,Furniture,Furnishings,36X48 HARDFLOOR CHAIRMAT,25.176,1,33.568,,29.372,29.372
8405,CA-2018-140480,2018-07-08,12/7/2018,Standard Class,HE-14800,Harold Engle,Corporate,FUR-FU-10003247,Furniture,Furnishings,36X48 HARDFLOOR CHAIRMAT,83.92,1,25.176,33.568,47.55466666666666,47.55466666666666
7188,CA-2018-133102,2018-08-17,24/08/2018,Standard Class,ED-13885,Emily Ducich,Home Office,FUR-FU-10003247,Furniture,Furnishings,36X48 HARDFLOOR CHAIRMAT,16.784,1,83.92,25.176,39.862,39.862
3051,US-2018-148054,2018-10-06,11/10/2018,Standard Class,NZ-18565,Nick Zandusky,Home Office,FUR-FU-10003247,Furniture,Furnishings,36X48 HARDFLOOR CHAIRMAT,41.96,1,16.784,83.92,40.281600000000005,40.281600000000005
4278,US-2017-107440,2017-04-16,20/04/2017,Standard Class,BS-11365,Bill Shonely,Corporate,TEC-MA-10001047,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",9099.93,1,,,9099.93,9099.93
6341,CA-2018-143112,2018-10-05,9/10/2018,Standard Class,TS-21370,Todd Sumrall,Corporate,TEC-MA-10001047,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",5199.96,1,9099.93,,7149.945,7149.945
7647,US-2015-115196,2015-09-09,13/09/2015,Standard Class,DL-12925,Daniel Lacy,Consumer,TEC-MA-10002073,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, White",1299.99,1,,,1299.99,1299.99
6364,CA-2018-110443,2018-11-21,25/11/2018,Standard Class,CK-12205,Chloris Kastensmidt,Consumer,TEC-MA-10002073,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, White",1039.992,1,1299.99,,1169.991,1169.991
2201,US-2015-165659,2015-06-01,6/6/2015,Standard Class,LT-17110,Liz Thompson,Consumer,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,22.2,1,,,22.2,22.2
913,CA-2016-133627,2016-05-31,7/6/2016,Standard Class,SC-20050,Sample Company A,Home Office,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,22.2,1,22.2,,22.2,22.2
388,CA-2016-122756,2016-12-03,7/12/2016,Standard Class,DK-13225,Dean Katz,Corporate,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,2.96,1,22.2,22.2,15.786666666666667,15.786666666666667
649,CA-2017-160745,2017-12-11,16/12/2017,Second Class,AR-10825,Anthony Rawles,Corporate,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,14.8,1,2.96,22.2,15.54,15.54
1826,CA-2017-167507,2017-12-22,28/12/2017,Standard Class,SA-20830,Sue Ann Reed,Consumer,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,11.84,1,14.8,2.96,14.8,14.8
2779,CA-2018-108322,2018-04-30,5/5/2018,Standard Class,SS-20140,Saphhira Shifley,Corporate,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,23.68,1,11.84,14.8,16.28,16.28
2432,CA-2018-129805,2018-12-28,2/1/2019,Standard Class,HM-14860,Harry Marie,Corporate,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,7.4,1,23.68,11.84,15.01142857142857,15.01142857142857
6822,CA-2018-163860,2018-12-28,1/1/2019,Standard Class,LO-17170,Lori Olson,Corporate,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,2.96,1,7.4,23.68,12.262857142857143,13.505
460,CA-2016-109638,2016-12-15,22/12/2016,Standard Class,JH-15985,Joseph Holt,Consumer,OFF-AP-10002472,Office Supplies,Appliances,3M Office Air Cleaner,103.92,1,,,103.92,103.92
6692,US-2018-165869,2018-07-31,5/8/2018,Standard Class,LS-17200,Luke Schmidt,Corporate,OFF-AP-10002472,Office Supplies,Appliances,3M Office Air Cleaner,155.88,1,103.92,,129.9,129.9
7553,CA-2015-140396,2015-11-20,25/11/2015,Standard Class,KH-16330,Katharine Harms,Corporate,OFF-BI-10003669,Office Supplies,Binders,3M Organizer Strips,12.96,1,,,12.96,12.96
2051,CA-2016-142237,2016-07-11,13/07/2016,First Class,CK-12595,Clytie Kelty,Consumer,OFF-BI-10003669,Office Supplies,Binders,3M Organizer Strips,6.48,1,12.96,,9.72,9.72
8738,CA-2018-161592,2018-04-06,10/4/2018,Standard Class,CS-12175,Charles Sheldon,Corporate,OFF-BI-10003669,Office Supplies,Binders,3M Organizer Strips,8.1,1,6.48,12.96,9.18,9.18
8755,CA-2018-152198,2018-09-09,10/9/2018,First Class,JD-16015,Joy Daniels,Consumer,OFF-BI-10003669,Office Supplies,Binders,3M Organizer Strips,4.86,1,8.1,6.48,8.1,8.1
1959,CA-2018-110905,2018-09-10,15/09/2018,Second Class,RW-19690,Robert Waldorf,Consumer,OFF-BI-10003669,Office Supplies,Binders,3M Organizer Strips,16.2,1,4.86,8.1,9.72,9.72
1073,CA-2018-106943,2018-11-14,19/11/2018,Standard Class,FO-14305,Frank Olsen,Consumer,OFF-BI-10003669,Office Supplies,Binders,3M Organizer Strips,8.64,1,16.2,4.86,9.540000000000001,9.540000000000001
6809,CA-2016-128125,2016-03-31,5/4/2016,Standard Class,EB-13705,Ed Braxton,Corporate,FUR-FU-10001085,Furniture,Furnishings,3M Polarizing Light Filter Sleeves,22.38,1,,,22.38,22.38
3960,CA-2017-156573,2017-05-29,2/6/2017,Standard Class,RB-19360,Raymond Buch,Consumer,FUR-FU-10001085,Furniture,Furnishings,3M Polarizing Light Filter Sleeves,44.76,1,22.38,,33.57,33.57
4511,CA-2017-119935,2017-11-10,14/11/2017,Standard Class,KM-16225,Kalyca Meade,Corporate,FUR-FU-10001085,Furniture,Furnishings,3M Polarizing Light Filter Sleeves,37.3,1,44.76,22.38,34.81333333333333,34.81333333333333
2649,CA-2015-131002,2015-09-07,12/9/2015,Second Class,TB-21400,Tom Boeckenhauer,Consumer,FUR-FU-10004665,Furniture,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",821.88,1,,,821.88,821.88
